week,aircraft,motor,is_leased
3,EC-6861-76_AV,EC-6861-76,False
3,EC-7535-80_AV,EC-7535-80,False
3,EC-5670-13_AV,EC-5670-13,False
3,EC-1442-46_AV,EC-1442-46,False
3,EC-3602-25_AV,EC-3602-25,False
3,EC-1940-61_AV,EC-1940-61,False
3,EC-6539-58_AV,EC-6539-58,False
3,EC-1557-52_AV,EC-1557-52,False
3,EC-8913-52_AV,EC-8913-52,False
3,EC-5408-24_AV,EC-5408-24,False
3,EC-3799-28_AV,EC-3799-28,False
3,EC-7031-80_AV,EC-7031-80,False
3,EC-1594-70_AV,EC-1594-70,False
3,EC-1432-96_AV,EC-1432-96,False
3,EC-2817-15_AV,EC-2817-15,False
3,EC-9504-94_AV,EC-9504-94,False
3,EC-4506-42_AV,EC-4506-42,False
3,EC-3794-65_AV,EC-3794-65,False
3,EC-9974-40_AV,EC-9974-40,False
3,EC-8324-53_AV,EC-8324-53,False
3,EC-8757-64_AV,EC-8757-64,False
3,EC-5560-36_AV,EC-5560-36,False
3,EC-9941-78_AV,EC-9941-78,False
3,EC-8492-75_AV,EC-8492-75,False
3,EC-8171-14_AV,EC-8171-14,False
3,EC-6265-71_AV,EC-6265-71,False
3,EC-9103-38_AV,EC-9103-38,False
3,EC-5003-28_AV,EC-5003-28,False
3,EC-2945-84_AV,EC-2945-84,False
3,EC-7592-75_AV,EC-7592-75,False
3,EC-4421-32_AV,EC-4421-32,False
3,EC-2301-70_AV,EC-2301-70,False
3,EC-3899-70_AV,EC-3899-70,False
3,EC-3965-29_AV,EC-3965-29,False
3,EC-9113-12_AV,EC-9113-12,False
3,EC-4853-60_AV,EC-4853-60,False
3,EC-5935-27_AV,EC-5935-27,False
3,EC-1067-41_AV,EC-1067-41,False
3,EC-8525-14_AV,EC-8525-14,False
3,EC-1122-28_AV,EC-1122-28,False
3,EC-7793-96_AV,EC-7793-96,False
3,EC-9822-46_AV,EC-9822-46,False
